Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0318500736747143,0.134408250107984,0.0750627469843922,0,0,0,4.4369989053719,0.0534569240130588,-3.30723388260079E-07,4.79864524194541E-08,0.104475699867926,-9.80613282542415E-06,0.0545985762807044,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/base_link.STL,,part_dipan_3-3;part_danpan_dm_zhijia_dayin-3;part_dipan_1-2;part_dipan_1-1;part_danpan_dm_zhijia_dayin-4;part_dipan_3-1-1;电池盒子-1/part_dianchi_ke_1-1;part_danpan_dm_zhijia_dayin-1;part_dipan_3-1;part_danpan_dm_zhijia_dayin-2;part_dipan_3-2;DM_4340P_banjin_falan-2;DM_4340P_banjin_falan-1;DM_4340P_banjin_falan-3;DM_4340P_banjin_falan-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_wheel_link,-3.40416028699053E-11,-1.2340328758853E-10,0.00558469119775667,0,0,0,0.00163612324488368,1.88759304768016E-08,3.15639584624597E-19,-5.44754681647822E-19,1.8875930482979E-08,8.54108361007486E-19,3.18228195584568E-08,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/front_left_wheel_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/front_left_wheel_link.STL,,base_part_7-3,zuo_lun_4,Axis_front_left_wheel_joint,front_left_wheel_joint,continuous,-0.191724182567996,0.165869894313329,0.119,1.5707963267949,0,-2.35619449019236,base_link,0,0,1,,,,,,,,,,,,
front_right_wheel_link,-6.06419775506239E-11,1.12732961854434E-10,0.00558469119775862,0,0,0,0.00163612324488367,1.8875930479435E-08,-3.07122001225964E-18,9.83833731319545E-19,1.88759304803454E-08,-2.41296568488576E-19,3.18228195584566E-08,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/front_right_wheel_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/front_right_wheel_link.STL,,base_part_7-2,zuo_lun_1,Axis_front_right_wheel_joint,front_right_wheel_joint,continuous,0.25544381896979,0.165869894313322,0.118999999999999,1.5707963267949,0,2.35619449019222,base_link,0,0,1,,,,,,,,,,,,
rear_left_wheel_link,-6.06427408289534E-11,1.12737277846442E-10,0.00558469119775673,0,0,0,0.00163612324488369,1.88759304794348E-08,-3.07117789909814E-18,9.83961944314491E-19,1.88759304803456E-08,-2.41218771352092E-19,3.18228195584566E-08,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/rear_left_wheel_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/rear_left_wheel_link.STL,,base_part_7-4,zuo_lun_3,Axis_rear_left_wheel_joint,rear_left_wheel_joint,continuous,-0.191724182567998,-0.281298107224456,0.119000000000001,1.5707963267949,0,-0.785398163397458,base_link,0,0,1,,,,,,,,,,,,
rear_right_wheel_link,-6.06426853178021E-11,1.12736875390596E-10,0.00558469119775673,0,0,0,0.00163612324488366,1.88759304794344E-08,-3.07131915366057E-18,9.83876744711398E-19,1.88759304803455E-08,-2.41240256729967E-19,3.18228195584561E-08,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/rear_right_wheel_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/rear_right_wheel_link.STL,,base_part_7-1,zuo_lun_2,Axis_rear_right_wheel_joint,rear_right_wheel_joint,continuous,0.25544381896978,-0.281298107224448,0.118999999999994,1.57079632679489,0,0.785398163397448,base_link,0,0,1,,,,,,,,,,,,
lidar_link,-0.00250804290421403,6.44352150802607E-09,0.0171069574143055,0,0,0,0.0374330181560157,2.80527421123996E-05,8.96073907930786E-12,-1.0709275181498E-06,3.36147766904905E-05,8.84916390823578E-13,4.50876793126628E-05,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/lidar_link.STL,0.376470588235294,0.376470588235294,0.376470588235294,1,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/lidar_link.STL,,part_M10-1,zuo_leida,Axis_lidar_joint,lidar_joint,fixed,0.0318598182009012,0.152285893544438,0.19,0,0,1.57079632679488,base_link,0,0,0,,,,,,,,,,,,
imu_link,1.64769300436962E-06,1.64769301196077E-06,0.00499999999999999,0,0,0,0.0357486725877128,1.09646256941373E-05,-2.1575682505017E-12,-6.95613629337452E-23,1.10235305563921E-05,-2.3351409626541E-20,2.13923450407342E-05,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/imu_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/imu_link.STL,,part_imu-1,zuo_imu,Axis_imu_joint,imu_joint,fixed,0.0318598182009012,0.152285893544438,0.0850000000000001,0,0,1.57079632679488,base_link,0,0,0,,,,,,,,,,,,
lift_column_link,-0.00435168272787461,0.469610437281469,0.0952387774941474,0,0,0,2.88486740861506,0.143825714214235,-6.37112277282347E-05,-5.52961048043683E-05,0.0267464980915521,0.00507317426129218,0.159229863944493,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/lift_column_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/lift_column_link.STL,,part_waike_2-1;part_waike_5-1;waike_pingmu-1;part_waike_3-1;part_shengjiang_2-1;part_shengjiang_6-1,Origin_lift_column_joint,,lift_column_joint,fixed,0.03186,-0.032214,0.19,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
lift_carriage_link,0.0756204015645276,0.00224613261704043,0.0109761810755997,0,0,0,1.54411126706519,0.023272567160222,8.7394684779108E-07,-4.60225522879708E-05,0.00450453239541089,-3.3213387554775E-07,0.0209762257026831,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/lift_carriage_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/lift_carriage_link.STL,,part_yaobu_3-1;part_shengjiang_pingtai_2-1;part_shengjiang_pingtai_1-1;part_yaobu_1-1;part_xiangji_1-1;part_cam-3;part_shengjiang_1-1,zou_lift,,lift_joint,prismatic,0,0.87,0.0255,1.5708,1.5708,0,lift_column_link,0,0,1,0,0,-0.7,0,,,,,,,,
a_right_base_link,6.56684538122981E-06,-2.07448643286812E-05,0.0349662004906963,0,0,0,0.402787177092637,0.000374256576636248,-1.90777786170652E-09,-1.15068620093225E-08,0.000359871786362004,-2.18240539415563E-07,0.000506483114170149,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/a_right_base_link.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://HEI_robot_urdf/meshes/a_right_base_link.STL,,reBot_B601_DM_v1.1_20260425-2/01-BASE-1_ASM-1/2026-04-01-17-13-05-853-1/1-BASE-UP-1-1;reBot_B601_DM_v1.1_20260425-2/01-BASE-1_ASM-1/2026-04-01-17-17-26-979-1/DM-J4340P-1;reBot_B601_DM_v1.1_20260425-2/01-BASE-1_ASM-1/2026-04-01-17-19-22-932-1/2-M1-STATOR-1-1,right_zuo_0,,a_right_base_mount,fixed,0.096,-0.23,-0.056,0,0,0,lift_carriage_link,0,0,0,,,,,,,,,,,,
